image,label,confidence,x,y,w,h
01.jpg,a lion,1.0,0,0,3000,1399
01.jpg,a deer,0.37,0,1304,3000,692
01.jpg,a lion,0.98,650,976,938,556
01.jpg,a lion,0.98,1273,385,1683,1207
01.jpg,a lion,0.95,1271,371,1140,1179
01.jpg,a deer,0.99,0,1144,141,287
01.jpg,a bird,0.76,2854,1607,146,77
01.jpg,a bear,0.59,1386,1399,568,172
01.jpg,a lion,0.68,1819,936,181,159
01.jpg,a bear,0.52,2650,1056,308,323
01.jpg,a bird,0.52,0,0,341,126
01.jpg,a lion,0.46,2192,0,808,1146
01.jpg,a bird,0.79,1283,165,80,89
01.jpg,a lion,0.54,1499,506,133,188
01.jpg,a bear,0.48,818,976,142,145
01.jpg,a rabbit,0.36,2791,1122,209,500
01.jpg,a lion,0.87,646,977,1974,556
01.jpg,a bird,0.54,395,1853,266,147
01.jpg,a rabbit,0.53,328,1419,209,199
01.jpg,a bear,0.68,2334,1022,626,360
01.jpg,a rabbit,0.58,132,1331,225,142
01.jpg,a wolf,0.41,1870,801,130,97
01.jpg,a lion,0.9,1537,539,506,560
02.jpg,a zebra,1.0,1106,361,513,717
02.jpg,a zebra,1.0,419,469,802,586
02.jpg,a bird,0.65,0,0,2200,326
02.jpg,a zebra,0.93,342,367,882,763
02.jpg,a zebra,0.92,0,801,2200,510
02.jpg,a bird,0.48,0,0,1530,325
02.jpg,a zebra,0.83,651,367,574,688
02.jpg,a bird,0.73,1974,209,226,185
02.jpg,a bird,0.56,0,622,332,203
02.jpg,a bear,0.25,0,82,1161,403
02.jpg,a bird,0.69,1238,26,962,339
02.jpg,a bird,0.99,1327,360,93,133
02.jpg,a bear,0.24,0,94,643,382
02.jpg,a bird,0.59,976,366,86,153
02.jpg,a bird,0.32,1118,611,108,182
02.jpg,a bird,0.43,326,769,338,112
02.jpg,a bird,0.52,0,801,1055,511
02.jpg,a bird,0.72,1427,46,461,222
02.jpg,a rabbit,0.39,248,423,217,122
02.jpg,a bird,0.53,1417,342,137,112
02.jpg,a rabbit,0.91,0,404,340,263
02.jpg,a bird,0.59,204,0,144,72
02.jpg,a bird,0.55,1118,375,79,127
02.jpg,a zebra,0.76,1193,360,227,147
02.jpg,a wolf,0.67,1194,359,73,148
02.jpg,a zebra,0.91,1111,602,509,462
02.jpg,a bird,1.0,1896,18,304,274
02.jpg,a zebra,0.33,976,366,222,149
02.jpg,a bear,0.4,1269,685,108,163
02.jpg,a bird,0.33,323,423,141,121
02.jpg,a bear,0.23,0,354,999,443
02.jpg,a zebra,0.98,1372,602,248,464
02.jpg,a bird,0.57,453,81,714,314
02.jpg,a bird,0.69,203,0,146,160
02.jpg,a bird,0.48,2113,931,87,160
02.jpg,a bird,0.36,1242,46,668,314
02.jpg,a bird,0.72,1339,0,314,58
02.jpg,a bird,0.3,1462,366,738,547
02.jpg,a bird,0.57,1945,344,160,104
02.jpg,a bird,0.51,1507,564,693,348
02.jpg,a zebra,0.97,1106,362,330,713
02.jpg,a bird,0.42,331,680,366,125
02.jpg,a bird,0.57,1355,0,845,97
02.jpg,a bird,0.57,0,1036,162,279
02.jpg,a bird,0.37,1437,19,763,278
02.jpg,a bird,0.56,1769,312,144,68
02.jpg,a bird,0.61,1635,754,69,118
02.jpg,a bird,0.99,0,796,300,517
02.jpg,a bird,0.58,888,278,284,123
02.jpg,a rabbit,0.61,1946,210,254,235
02.jpg,a bird,0.6,1990,913,115,134
02.jpg,a bird,0.46,248,431,76,96
02.jpg,a bird,0.5,1666,315,358,273
02.jpg,a bird,0.59,1743,667,123,115
02.jpg,a bird,0.63,656,352,169,133
02.jpg,a bird,0.71,1990,912,198,135
02.jpg,a bird,0.41,1782,208,418,238
03.jpg,a lion,0.7,0,0,1920,579
03.jpg,a tiger,0.47,942,6,532,1070
03.jpg,a tiger,0.51,480,412,326,368
03.jpg,a tiger,0.42,0,0,1920,1071
03.jpg,a lion,0.41,198,7,1276,1069
03.jpg,a bird,0.31,1376,383,544,294
03.jpg,a bird,0.63,1599,381,321,291
03.jpg,a lion,0.59,941,24,143,203
03.jpg,a lion,0.75,1302,5,173,209
03.jpg,a deer,0.27,773,474,216,205
03.jpg,a bird,0.56,165,446,249,206
03.jpg,a lion,0.34,1224,957,158,96
03.jpg,a bird,0.63,1177,654,64,191
03.jpg,a bird,0.62,0,687,195,69
03.jpg,a rabbit,0.67,1402,716,171,73
03.jpg,a rabbit,0.37,372,597,145,103
03.jpg,a deer,0.27,192,413,613,367
03.jpg,a rabbit,0.35,1690,875,168,59
03.jpg,a tiger,0.53,945,8,528,649
03.jpg,a bird,0.68,1759,665,161,87
03.jpg,a bird,0.77,369,457,104,148
03.jpg,a rabbit,0.73,1349,715,227,84
03.jpg,a bird,0.56,245,752,139,84
03.jpg,a bird,0.78,0,564,162,69
03.jpg,a bird,0.43,7,627,162,70
04.jpg,a bear,1.0,0,0,612,272
04.jpg,a deer,0.28,0,265,612,142
04.jpg,a bear,0.99,291,133,180,200
04.jpg,a bear,0.95,0,1,612,406
05.jpg,a deer,0.99,1790,364,785,1546
05.jpg,a deer,0.99,2088,5,912,1877
05.jpg,a deer,0.98,484,0,2516,1887
05.jpg,a bird,0.6,0,5,1731,1988
05.jpg,a bird,0.28,2072,361,147,175
05.jpg,a bird,0.73,1788,369,144,166
05.jpg,a deer,0.99,1550,0,1450,1890
05.jpg,a deer,0.98,1602,0,602,1870
05.jpg,a deer,0.63,1788,362,430,175
05.jpg,a deer,0.36,2363,896,154,191
05.jpg,a bird,0.45,276,983,116,74
05.jpg,a bird,0.64,2258,1546,55,332
