frame_id,label,confidence,x,y,w,h
1,an agouti,0.286,0,0,1280,720
1,an agouti,0.286,0,0,1280,720
1,an agouti,0.28,0,0,1280,719
2,an agouti,0.288,0,0,1280,720
2,an agouti,0.288,0,0,1280,720
2,an agouti,0.281,0,0,1280,719
3,an agouti,0.284,0,0,1280,720
3,an agouti,0.284,0,0,1280,720
3,an agouti,0.281,0,0,1280,719
4,an agouti,0.288,0,0,1280,720
4,an agouti,0.288,0,0,1280,720
4,an agouti,0.273,0,2,1280,717
5,an agouti,0.29,0,0,1280,720
5,an agouti,0.29,0,0,1280,720
5,an agouti,0.273,0,4,1280,714
6,an agouti,0.302,0,0,1280,719
6,an agouti,0.306,0,0,1280,720
6,an agouti,0.302,0,0,1280,719
7,an agouti,0.287,0,0,1280,719
7,an agouti,0.291,0,0,1280,720
7,an agouti,0.287,0,0,1280,719
8,an agouti,0.264,0,0,1280,719
8,an agouti,0.264,0,0,1280,719
8,an agouti,0.264,0,0,1280,719
9,an agouti,0.256,0,0,1280,719
9,an agouti,0.265,0,0,1280,720
9,an agouti,0.256,0,0,1280,719
10,an agouti,0.259,0,0,1280,719
10,an agouti,0.259,0,0,1280,719
10,an agouti,0.254,0,0,1280,718
11,an agouti,0.258,0,0,1280,719
11,an agouti,0.258,0,0,1280,719
11,an agouti,0.252,0,0,1280,718
12,an agouti,0.252,0,0,1280,719
12,an agouti,0.252,0,0,1280,719
12,an agouti,0.247,0,0,1280,718
13,an agouti,0.258,0,0,1280,719
13,an agouti,0.258,0,0,1280,719
13,an agouti,0.258,0,0,1280,718
14,an agouti,0.265,0,0,1280,720
14,an agouti,0.259,0,0,1280,719
14,an agouti,0.249,0,0,1280,715
15,an agouti,0.276,0,0,1280,720
15,an agouti,0.267,0,0,1280,719
15,an agouti,0.262,0,0,1280,718
16,an agouti,0.277,0,0,1280,720
16,an agouti,0.269,0,0,1280,719
16,an agouti,0.258,0,0,1280,718
17,an agouti,0.272,0,0,1280,720
17,an agouti,0.268,0,0,1280,719
17,an agouti,0.27,0,0,1280,718
18,an agouti,0.301,0,0,1280,720
18,an agouti,0.293,0,0,1280,719
18,an agouti,0.284,0,0,1280,718
19,an agouti,0.309,0,0,1280,720
19,an agouti,0.306,0,0,1280,719
19,an agouti,0.297,0,0,1280,718
20,an agouti,0.305,0,0,1280,720
20,an agouti,0.296,0,0,1280,719
20,an agouti,0.289,0,0,1280,718
21,a tamandua,0.288,0,0,1280,720
21,an agouti,0.277,0,0,1280,719
21,an agouti,0.279,0,0,1280,718
22,an agouti,0.284,0,0,1280,720
22,an agouti,0.277,0,0,1280,719
22,an agouti,0.271,0,0,1280,718
23,a coati,0.293,0,0,1280,720
23,a coati,0.283,0,0,1280,719
23,an agouti,0.278,0,0,1280,718
24,an agouti,0.31,0,0,1280,719
24,an agouti,0.31,0,0,1280,719
24,an agouti,0.298,0,0,1280,718
25,an agouti,0.299,0,0,1280,720
25,an agouti,0.297,0,0,1280,719
25,an agouti,0.287,0,0,1280,718
26,an agouti,0.301,0,0,1280,720
26,an agouti,0.296,0,0,1280,719
26,an agouti,0.288,0,0,1280,718
27,an agouti,0.295,0,0,1280,719
27,an agouti,0.295,0,0,1280,719
27,an agouti,0.288,0,0,1280,718
28,an agouti,0.295,0,0,1280,719
28,an agouti,0.295,0,0,1280,719
28,an agouti,0.289,0,0,1280,718
29,an agouti,0.297,0,0,1280,720
29,an agouti,0.294,0,0,1280,719
29,an agouti,0.284,0,0,1280,718
30,an agouti,0.293,0,0,1280,720
30,an agouti,0.29,0,0,1280,719
30,an agouti,0.28,0,0,1280,718
31,a monkey,0.285,0,0,1280,720
31,an agouti,0.279,0,0,1280,719
31,an agouti,0.27,0,0,1280,718
32,an agouti,0.278,0,0,1280,719
32,an agouti,0.278,0,0,1280,719
32,an agouti,0.272,0,0,1280,718
33,an agouti,0.294,0,0,1280,719
33,an agouti,0.294,0,0,1280,719
33,an agouti,0.287,0,0,1280,718
34,an agouti,0.29,0,0,1280,720
34,an agouti,0.293,0,0,1280,719
34,an agouti,0.281,0,0,1280,718
35,an agouti,0.274,0,0,1280,720
35,an agouti,0.273,0,0,1280,719
35,an agouti,0.263,0,0,1280,718
36,a puma,0.277,0,0,1280,720
36,a puma,0.275,0,0,1280,719
36,a coati,0.267,0,0,1280,718
37,an agouti,0.282,0,0,1280,720
37,an agouti,0.278,0,0,1280,719
37,an agouti,0.276,0,0,1280,718
38,an agouti,0.292,0,0,1280,720
38,an agouti,0.285,0,0,1280,719
38,an agouti,0.283,0,0,1280,718
39,a monkey,0.291,0,0,1280,720
39,a monkey,0.291,0,0,1280,720
39,a monkey,0.273,0,0,1280,717
40,an agouti,0.295,0,0,1280,720
40,an agouti,0.295,0,0,1280,720
40,an agouti,0.281,0,0,1280,718
41,an agouti,0.284,0,0,1280,720
41,an agouti,0.284,0,0,1280,720
41,an agouti,0.279,0,0,1280,719
42,an agouti,0.302,0,0,1280,720
42,an agouti,0.302,0,0,1280,720
42,an agouti,0.293,0,0,1280,719
43,an agouti,0.312,0,0,1280,720
43,an agouti,0.312,0,0,1280,720
43,an agouti,0.305,0,0,1280,718
44,an agouti,0.312,0,0,1280,719
44,an agouti,0.314,0,0,1280,720
44,an agouti,0.312,0,0,1280,719
45,an agouti,0.291,0,0,1280,719
45,an agouti,0.291,0,0,1280,719
45,an agouti,0.291,0,0,1280,719
46,an agouti,0.289,0,0,1280,719
46,an agouti,0.289,0,0,1280,719
46,an agouti,0.286,0,0,1280,718
47,an agouti,0.278,0,0,1280,719
47,an agouti,0.278,0,0,1280,719
47,an agouti,0.278,0,0,1280,719
48,an agouti,0.262,0,0,1280,719
48,an agouti,0.262,0,0,1280,719
48,an agouti,0.262,0,0,1280,719
49,an agouti,0.261,0,0,1280,719
49,an agouti,0.266,0,0,1280,720
49,an agouti,0.26,0,0,1280,718
50,an agouti,0.258,0,0,1280,719
50,an agouti,0.258,0,0,1280,719
50,an agouti,0.252,0,0,1280,718
51,an agouti,0.265,0,0,1280,720
51,an agouti,0.263,0,0,1280,719
51,an agouti,0.264,0,0,1280,718
52,an agouti,0.258,0,0,1280,719
52,an agouti,0.258,0,0,1280,719
52,an agouti,0.253,0,0,1280,717
53,an agouti,0.273,0,0,1280,720
53,an agouti,0.273,0,0,1280,720
53,an agouti,0.257,0,0,1280,718
54,an agouti,0.268,0,0,1280,719
54,an agouti,0.278,0,0,1280,720
54,an agouti,0.259,0,0,1280,718
55,an agouti,0.273,0,0,1280,719
55,an agouti,0.273,0,0,1280,719
55,an agouti,0.266,0,0,1280,718
56,an agouti,0.272,0,0,1280,720
56,an agouti,0.272,0,0,1280,720
56,an agouti,0.261,0,0,1280,718
57,an agouti,0.291,0,0,1280,720
57,an agouti,0.283,0,0,1280,719
57,an agouti,0.279,0,0,1280,718
58,an agouti,0.28,0,0,1280,720
58,an agouti,0.275,0,0,1280,719
58,an agouti,0.265,0,0,1280,718
59,an agouti,0.278,0,0,1280,720
59,an agouti,0.271,0,0,1280,719
59,an agouti,0.265,0,0,1280,718
60,an agouti,0.291,0,0,1280,720
60,an agouti,0.285,0,0,1280,719
60,an agouti,0.286,0,0,1280,718
61,an agouti,0.302,0,0,1280,720
61,an agouti,0.295,0,0,1280,719
61,an agouti,0.295,0,0,1280,718
62,an agouti,0.292,0,0,1280,720
62,an agouti,0.283,0,0,1280,719
62,an agouti,0.281,0,0,1280,718
63,an agouti,0.288,0,0,1280,720
63,an agouti,0.281,0,0,1280,719
63,an agouti,0.278,0,0,1280,718
64,an agouti,0.281,0,0,1280,720
64,an agouti,0.276,0,0,1280,719
64,an agouti,0.272,0,0,1280,718
65,an agouti,0.278,0,0,1280,720
65,an agouti,0.269,0,0,1280,719
65,an agouti,0.265,0,0,1280,718
66,an agouti,0.269,0,0,1280,720
66,an agouti,0.259,0,0,1280,719
66,an agouti,0.257,0,0,1280,718
67,an agouti,0.279,0,0,1280,720
67,an agouti,0.273,0,0,1280,719
67,an agouti,0.271,0,0,1280,718
68,an agouti,0.264,0,0,1280,720
68,an agouti,0.26,0,0,1280,719
68,an agouti,0.26,0,0,1280,719
69,an agouti,0.28,0,0,1280,720
69,an agouti,0.266,0,0,1280,719
69,an agouti,0.264,0,0,1280,718
70,an agouti,0.282,0,0,1280,720
70,an agouti,0.27,0,0,1280,719
70,an agouti,0.272,0,0,1280,718
71,an agouti,0.278,0,0,1280,720
71,an agouti,0.269,0,0,1280,719
71,an agouti,0.267,0,0,1280,718
72,an agouti,0.272,0,0,1280,720
72,an agouti,0.263,0,0,1280,719
72,an agouti,0.263,0,0,1280,718
73,an agouti,0.267,0,0,1280,720
73,an agouti,0.259,0,0,1280,719
73,an agouti,0.257,0,0,1280,718
74,an agouti,0.265,0,0,1280,720
74,an agouti,0.26,0,0,1280,719
74,an agouti,0.263,0,0,1280,718
75,an agouti,0.285,0,0,1280,720
75,an agouti,0.279,0,0,1280,719
75,an agouti,0.283,0,0,1280,718
76,an agouti,0.278,0,0,1280,720
76,an agouti,0.272,0,0,1280,719
76,an agouti,0.269,0,0,1280,718
77,an agouti,0.272,0,0,1280,720
77,an agouti,0.263,0,0,1280,719
77,an agouti,0.258,0,0,1280,718
78,an agouti,0.273,0,0,1280,720
78,an agouti,0.265,0,0,1280,719
78,an agouti,0.273,0,0,1280,718
79,an agouti,0.28,0,0,1280,720
79,an agouti,0.274,0,0,1280,719
79,an agouti,0.281,0,0,1280,718
80,an agouti,0.286,0,0,1280,720
80,an agouti,0.276,0,0,1280,719
80,an agouti,0.282,0,0,1280,718
81,an agouti,0.294,0,0,1280,720
81,an agouti,0.289,0,0,1280,719
81,an agouti,0.295,0,0,1280,718
82,an agouti,0.281,0,0,1280,720
82,an agouti,0.276,0,0,1280,719
82,an agouti,0.288,0,0,1280,718
83,an agouti,0.283,0,0,1280,720
83,an agouti,0.276,0,0,1280,719
83,an agouti,0.285,0,0,1280,718
84,an agouti,0.285,0,0,1280,720
84,an agouti,0.275,0,0,1280,719
84,an agouti,0.283,0,0,1280,718
85,an agouti,0.286,0,0,1280,720
85,an agouti,0.277,0,0,1280,719
85,an agouti,0.282,0,0,1280,718
86,an agouti,0.279,0,0,1280,720
86,an agouti,0.277,0,0,1280,719
86,an agouti,0.28,0,0,1280,718
87,an agouti,0.28,0,0,1280,720
87,an agouti,0.277,0,0,1280,719
87,an agouti,0.277,0,0,1280,719
88,an agouti,0.278,0,0,1280,720
88,an agouti,0.277,0,0,1280,719
88,an agouti,0.277,0,0,1280,719
89,an agouti,0.269,0,0,1280,720
89,an agouti,0.266,0,0,1280,719
89,an agouti,0.266,0,0,1280,719
90,an agouti,0.275,0,0,1280,720
90,an agouti,0.274,0,0,1280,719
90,an agouti,0.277,0,0,1280,718
91,an agouti,0.268,0,0,1280,720
91,an agouti,0.267,0,0,1280,719
91,an agouti,0.274,0,0,1280,718
92,an agouti,0.273,0,0,1280,720
92,an agouti,0.274,0,0,1280,719
92,an agouti,0.284,0,0,1280,718
93,an agouti,0.29,0,0,1280,720
93,an agouti,0.29,0,0,1280,719
93,an agouti,0.299,0,0,1280,718
94,an agouti,0.291,0,0,1280,720
94,an agouti,0.291,0,0,1280,719
94,an agouti,0.296,0,0,1280,718
95,an agouti,0.288,0,0,1280,720
95,an agouti,0.289,0,0,1280,719
95,an agouti,0.289,0,0,1280,718
96,an agouti,0.292,0,0,1280,720
96,an agouti,0.292,0,0,1280,719
96,an agouti,0.292,0,0,1280,718
97,an agouti,0.287,0,0,1280,720
97,an agouti,0.284,0,0,1280,719
97,an agouti,0.291,0,0,1280,718
98,an agouti,0.29,0,0,1280,720
98,an agouti,0.287,0,0,1280,719
98,an agouti,0.292,0,0,1280,718
99,an agouti,0.287,0,0,1280,720
99,an agouti,0.283,0,0,1280,719
99,an agouti,0.278,0,0,1280,718
100,an agouti,0.282,0,0,1280,720
100,an agouti,0.277,0,0,1280,719
100,an agouti,0.276,0,0,1280,718
101,an agouti,0.286,0,0,1280,720
101,an agouti,0.282,0,0,1280,719
101,an agouti,0.277,0,0,1280,718
102,an agouti,0.278,0,0,1280,720
102,an agouti,0.276,0,0,1280,719
102,an agouti,0.271,0,0,1280,718
103,an agouti,0.283,0,0,1280,720
103,an agouti,0.284,0,0,1280,719
103,an agouti,0.28,0,0,1280,718
104,an agouti,0.293,0,0,1280,720
104,an agouti,0.292,0,0,1280,719
104,an agouti,0.281,0,0,1280,718
105,an agouti,0.293,0,0,1280,720
105,an agouti,0.287,0,0,1280,719
105,an agouti,0.281,0,0,1280,718
106,an agouti,0.294,0,0,1280,720
106,an agouti,0.286,0,0,1280,719
106,an agouti,0.281,0,0,1280,718
107,an agouti,0.289,0,0,1280,720
107,an agouti,0.284,0,0,1280,719
107,an agouti,0.281,0,0,1280,718
108,a coati,0.299,0,0,1280,720
108,a coati,0.293,0,0,1280,719
108,a coati,0.29,0,0,1280,718
109,a coati,0.295,0,0,1280,720
109,a coati,0.293,0,0,1280,719
109,a coati,0.292,0,0,1280,718
110,a coati,0.288,0,0,1280,720
110,a coati,0.286,0,0,1280,719
110,an agouti,0.29,0,0,1280,718
111,an agouti,0.293,0,0,1280,720
111,an agouti,0.29,0,0,1280,719
111,an agouti,0.295,0,0,1280,718
112,an agouti,0.287,0,0,1280,720
112,an agouti,0.283,0,0,1280,719
112,a coati,0.29,0,0,1280,718
113,an agouti,0.282,0,0,1280,720
113,an agouti,0.278,0,0,1280,719
113,an agouti,0.28,0,0,1280,718
114,a coati,0.289,0,0,1280,720
114,a coati,0.284,0,0,1280,719
114,a coati,0.291,0,0,1280,718
115,a coati,0.284,0,0,1280,720
115,a coati,0.281,0,0,1280,719
115,a coati,0.287,0,0,1280,718
116,a coati,0.288,0,0,1280,720
116,a coati,0.283,0,0,1280,719
116,a coati,0.286,0,0,1280,718
117,an agouti,0.293,0,0,1280,720
117,an agouti,0.284,0,0,1280,719
117,an agouti,0.283,0,0,1280,718
118,an agouti,0.292,0,0,1280,720
118,an agouti,0.287,0,0,1280,719
118,an agouti,0.286,0,0,1280,718
119,an agouti,0.293,0,0,1280,720
119,an agouti,0.289,0,0,1280,719
119,an agouti,0.29,0,0,1280,718
120,an agouti,0.299,0,0,1280,720
120,an agouti,0.294,0,0,1280,719
120,an agouti,0.293,0,0,1280,718
121,an agouti,0.3,0,0,1280,720
121,an agouti,0.293,0,0,1280,719
121,an agouti,0.29,0,0,1280,718
122,an agouti,0.293,0,0,1280,720
122,an agouti,0.286,0,0,1280,719
122,an agouti,0.292,0,0,1280,718
123,an agouti,0.295,0,0,1280,720
123,an agouti,0.291,0,0,1280,719
123,an agouti,0.294,0,0,1280,718
124,an agouti,0.302,0,0,1280,720
124,an agouti,0.298,0,0,1280,719
124,an agouti,0.298,0,0,1280,718
125,an agouti,0.298,0,0,1280,720
125,an agouti,0.295,0,0,1280,719
125,an agouti,0.3,0,0,1280,718
126,an agouti,0.297,0,0,1280,720
126,an agouti,0.293,0,0,1280,719
126,an agouti,0.297,0,0,1280,718
127,an agouti,0.284,0,0,1280,720
127,an agouti,0.281,0,0,1280,719
127,an agouti,0.285,0,0,1280,718
128,an agouti,0.283,0,0,1280,720
128,an agouti,0.28,0,0,1280,719
128,an agouti,0.285,0,0,1280,718
129,an agouti,0.284,0,0,1280,720
129,an agouti,0.277,0,0,1280,719
129,a coati,0.283,0,0,1280,718
130,an agouti,0.284,0,0,1280,720
130,an agouti,0.283,0,0,1280,719
130,an agouti,0.286,0,0,1280,718
131,an agouti,0.287,0,0,1280,720
131,an agouti,0.281,0,0,1280,719
131,an agouti,0.281,0,0,1280,719
132,an agouti,0.301,0,0,1280,720
132,an agouti,0.293,0,0,1280,719
132,an agouti,0.293,0,0,1280,719
133,an agouti,0.303,0,0,1280,720
133,an agouti,0.296,0,0,1280,719
133,an agouti,0.296,0,0,1280,719
134,an agouti,0.298,0,0,1280,720
134,an agouti,0.298,0,0,1280,720
134,an agouti,0.292,0,0,1280,719
135,an agouti,0.29,0,0,1280,720
135,an agouti,0.287,0,0,1280,719
135,an agouti,0.292,0,0,1280,718
136,an agouti,0.295,0,0,1280,720
136,an agouti,0.29,0,0,1280,719
136,an agouti,0.292,0,0,1280,718
137,an agouti,0.294,0,0,1280,720
137,an agouti,0.294,0,0,1280,720
137,an agouti,0.293,0,0,1280,718
138,an agouti,0.289,0,0,1280,720
138,an agouti,0.289,0,0,1280,720
138,an agouti,0.287,0,0,1280,719
139,an agouti,0.285,0,0,1280,720
139,an agouti,0.285,0,0,1280,720
139,an agouti,0.282,0,0,1280,719
140,an agouti,0.289,0,0,1280,720
140,an agouti,0.284,0,0,1280,719
140,an agouti,0.287,0,0,1280,718
141,an agouti,0.291,0,0,1280,720
141,an agouti,0.291,0,0,1280,720
141,an agouti,0.284,0,0,1280,718
142,an agouti,0.297,0,0,1280,720
142,an agouti,0.297,0,0,1280,720
142,an agouti,0.29,0,0,1280,718
143,an agouti,0.295,0,0,1280,720
143,an agouti,0.295,0,0,1280,720
143,an agouti,0.289,0,0,1280,718
144,an agouti,0.291,0,0,1280,720
144,an agouti,0.291,0,0,1280,720
144,an agouti,0.281,0,0,1280,719
145,an agouti,0.282,0,0,1280,720
145,an agouti,0.282,0,0,1280,720
145,an agouti,0.277,0,0,1280,719
146,an agouti,0.282,0,0,1280,720
146,an agouti,0.282,0,0,1280,720
146,an agouti,0.273,0,0,1280,719
147,an agouti,0.301,0,0,1280,720
147,an agouti,0.301,0,0,1280,720
147,an agouti,0.297,0,0,1280,719
148,an agouti,0.292,0,0,1280,720
148,an agouti,0.292,0,0,1280,720
148,an agouti,0.289,0,0,1280,719
149,an agouti,0.298,0,0,1280,720
149,an agouti,0.298,0,0,1280,720
149,an agouti,0.296,0,0,1280,719
150,an agouti,0.299,0,0,1280,720
150,an agouti,0.299,0,0,1280,720
150,an agouti,0.294,0,0,1280,719
151,an agouti,0.295,0,0,1280,720
151,an agouti,0.295,0,0,1280,720
151,an agouti,0.29,0,0,1280,719
152,an agouti,0.285,0,0,1280,720
152,an agouti,0.285,0,0,1280,720
152,an agouti,0.283,0,0,1280,719
153,an agouti,0.287,0,0,1280,720
153,an agouti,0.287,0,0,1280,720
153,an agouti,0.283,0,0,1280,719
154,an agouti,0.286,0,0,1280,720
154,an agouti,0.286,0,0,1280,720
154,an agouti,0.282,0,0,1280,719
155,an ocelot,0.239,0,0,1280,718
155,an ocelot,0.242,0,0,1280,709
155,a tamandua,0.265,0,402,1276,316
156,an ocelot,0.235,0,0,1280,718
156,an ocelot,0.236,0,0,1280,714
156,a tamandua,0.255,0,393,1278,325
157,an ocelot,0.243,0,0,1280,718
157,an ocelot,0.241,0,0,1280,710
157,an otter,0.274,0,452,1277,266
158,an ocelot,0.238,0,0,1280,719
158,an ocelot,0.242,0,0,1280,716
158,an ocelot,0.257,11,202,1263,516
159,an ocelot,0.24,0,0,1280,718
159,an ocelot,0.242,0,0,1280,711
159,an otter,0.248,11,392,1264,326
160,an ocelot,0.237,0,0,1280,718
160,an ocelot,0.24,0,0,1280,705
160,an ocelot,0.234,11,86,1264,632
161,an ocelot,0.236,0,0,1280,718
161,an ocelot,0.234,0,0,1280,707
161,a tamandua,0.245,11,165,1263,553
162,an ocelot,0.234,0,0,1280,718
162,an ocelot,0.233,0,0,1280,704
163,an ocelot,0.24,0,0,1280,718
163,an ocelot,0.241,0,0,1280,705
164,an ocelot,0.234,0,0,1280,718
164,an ocelot,0.243,0,0,1280,705
165,an ocelot,0.243,0,0,1280,718
165,an ocelot,0.24,0,0,1280,706
166,an ocelot,0.237,0,0,1280,718
166,an ocelot,0.242,0,0,1280,704
166,an ocelot,0.246,12,165,1262,553
167,an ocelot,0.241,0,0,1280,718
167,an ocelot,0.245,0,0,1280,706
168,an ocelot,0.242,0,0,1280,718
168,an ocelot,0.245,0,0,1280,706
169,an ocelot,0.245,0,0,1280,719
169,an ocelot,0.241,0,0,1280,706
170,an ocelot,0.24,0,0,1280,718
170,an ocelot,0.243,0,0,1280,705
171,an ocelot,0.249,0,0,1280,719
171,an ocelot,0.238,0,0,1280,705
172,an ocelot,0.237,0,0,1280,718
172,an ocelot,0.237,0,0,1280,705
173,an ocelot,0.238,0,0,1280,718
173,an ocelot,0.232,0,0,1280,704
174,an ocelot,0.241,0,0,1280,718
174,an ocelot,0.233,0,0,1280,661
175,an ocelot,0.239,0,0,1280,718
175,an ocelot,0.242,0,0,1280,663
175,an ocelot,0.233,0,0,1280,673
176,an ocelot,0.238,0,0,1280,718
176,an ocelot,0.238,0,0,1280,694
177,an ocelot,0.238,0,0,1280,718
177,an ocelot,0.244,0,0,1280,703
178,an ocelot,0.24,0,0,1280,719
178,an ocelot,0.242,0,0,1280,704
179,an ocelot,0.235,0,0,1280,718
179,an ocelot,0.234,0,0,1280,664
180,an ocelot,0.238,0,0,1280,719
180,an ocelot,0.233,0,0,1280,661
181,an ocelot,0.242,0,0,1280,718
181,an ocelot,0.243,0,0,1280,660
182,an ocelot,0.247,0,0,1280,719
182,an ocelot,0.246,0,0,1280,703
183,an ocelot,0.243,0,0,1280,718
183,an ocelot,0.241,0,0,1280,661
184,an ocelot,0.245,0,0,1280,718
184,an ocelot,0.242,0,0,1280,661
185,an ocelot,0.244,0,0,1280,719
185,an ocelot,0.242,0,0,1280,705
186,an ocelot,0.238,0,0,1280,718
186,an ocelot,0.239,0,0,1280,661
187,an ocelot,0.239,0,0,1280,718
187,an ocelot,0.238,0,0,1280,664
187,an ocelot,0.228,12,166,1263,551
188,an ocelot,0.221,0,0,1280,718
188,an ocelot,0.227,0,0,1280,704
188,a monkey,0.226,9,166,1257,552
189,an ocelot,0.216,0,0,1280,718
189,an ocelot,0.224,0,0,1280,706
189,an ocelot,0.231,11,146,1222,571
190,an ocelot,0.213,0,0,1280,718
190,an ocelot,0.215,0,0,1280,708
191,an ocelot,0.22,0,0,1280,718
191,an ocelot,0.218,0,0,1280,712
191,an ocelot,0.249,22,247,1146,469
192,an ocelot,0.213,0,0,1280,718
192,an ocelot,0.221,0,0,1280,708
192,an ocelot,0.236,10,247,1158,468
